Point_Index,Sweep_Timestamp,Temperature_C,Frequency_Hz,Real_S11,Imag_S11
1,2025-11-17 19:41:09,-10.25,50000000.0,0.999622285366,-0.0354376137257
2,2025-11-17 19:41:09,-10.25,51664888.2713,0.999563992023,-0.0366171449423
3,2025-11-17 19:41:09,-10.25,53385213.6017,0.999497175217,-0.0378121733665
4,2025-11-17 19:41:09,-10.25,55162821.9215,0.999458611012,-0.0390639342368
5,2025-11-17 19:41:09,-10.25,56999620.626,0.999401569366,-0.040387429297
6,2025-11-17 19:41:09,-10.25,58897580.623,0.999305486679,-0.0417120456696
7,2025-11-17 19:41:09,-10.25,60858738.4468,0.999228060246,-0.0430987030268
8,2025-11-17 19:41:09,-10.25,62885198.4437,0.999186098576,-0.0445165038109
9,2025-11-17 19:41:09,-10.25,64979135.0303,0.999065756798,-0.0459878444672
10,2025-11-17 19:41:09,-10.25,67142795.0261,0.99899494648,-0.0475416779518
11,2025-11-17 19:41:09,-10.25,69378500.0649,0.998912811279,-0.0491034984589
12,2025-11-17 19:41:09,-10.25,71688649.0857,0.998822212219,-0.0507234036922
13,2025-11-17 19:41:09,-10.25,74075720.9067,0.998715281487,-0.0524360537529
14,2025-11-17 19:41:09,-10.25,76542276.8852,0.998578548431,-0.0541595220566
15,2025-11-17 19:41:09,-10.25,79090963.6661,0.998445749283,-0.0559877455235
16,2025-11-17 19:41:09,-10.25,81724516.0216,0.99831366539,-0.057841040194
17,2025-11-17 19:41:09,-10.25,84445759.7856,0.998199105263,-0.0597640611231
18,2025-11-17 19:41:09,-10.25,87257614.8862,0.998039603233,-0.0617241486907
19,2025-11-17 19:41:09,-10.25,90163098.4783,0.997870504856,-0.0637738406658
20,2025-11-17 19:41:09,-10.25,93165328.1815,0.99771296978,-0.0659365653992
21,2025-11-17 19:41:09,-10.25,96267525.4252,0.997509598732,-0.0681096017361
22,2025-11-17 19:41:09,-10.25,99473018.9049,0.997344613075,-0.0704007744789
23,2025-11-17 19:41:09,-10.25,102785248.155,0.997119665146,-0.072745680809
24,2025-11-17 19:41:09,-10.25,106207767.237,0.99688988924,-0.0751155614853
