Point_Index,Sweep_Timestamp,Temperature_C,Frequency_Hz,Real_S11,Imag_S11,Current_Step
1,2025-12-07 15:36:57,24.91,1000000.0,1.00013649464,-0.000289399176836,1
2,2025-12-07 15:36:57,24.91,100995000.0,0.979638934135,-0.0251021683216,1
3,2025-12-07 15:36:57,24.91,200990000.0,0.973238110542,-0.055820196867,1
4,2025-12-07 15:36:57,24.91,300985000.0,1.02566921711,-0.0660116374493,1
5,2025-12-07 15:36:57,24.91,400980000.0,1.0484906435,-0.11913523078,1
6,2025-12-07 15:36:57,24.91,500975000.0,1.00400626659,-0.128199532628,1
7,2025-12-07 15:36:57,24.91,600970000.0,0.999842226505,-0.171636223793,1
8,2025-12-07 15:36:57,24.91,700965000.0,0.999674201012,-0.152304917574,1
9,2025-12-07 15:36:57,24.91,800960000.0,1.00040829182,-0.133104324341,1
10,2025-12-07 15:36:57,24.91,900955000.0,0.988180458546,-0.230488210917,1
11,2025-12-07 15:36:57,24.91,1000950000.0,1.03532874584,-0.324879407883,1
12,2025-12-07 15:36:57,24.91,1100945000.0,1.15725183487,-0.279725700617,1
13,2025-12-07 15:36:57,24.91,1200940000.0,1.31878960133,-0.281290233135,1
14,2025-12-07 15:36:57,24.91,1300935000.0,1.10525679588,-0.502097964287,1
15,2025-12-07 15:36:57,24.91,1400930000.0,0.876812636852,-0.489804267883,1
16,2025-12-07 15:36:57,24.91,1500925000.0,0.816655039787,-0.448592692614,1
17,2025-12-07 15:36:57,24.91,1600920000.0,0.766664505005,-0.410028398037,1
18,2025-12-07 15:36:57,24.91,1700915000.0,1.11917483807,-0.300154596567,1
19,2025-12-07 15:36:57,24.91,1800910000.0,1.90911340714,-0.621018111706,1
20,2025-12-07 15:36:57,24.91,1900905000.0,0.970054149628,-0.35752671957,1
21,2025-12-07 15:36:57,24.91,2000900000.0,0.614074230194,-0.516061246395,1
22,2025-12-07 15:36:57,24.91,2100895000.0,0.734318733215,-0.429542005062,1
23,2025-12-07 15:36:57,24.91,2200890000.0,0.906903028488,-0.374312281609,1
24,2025-12-07 15:36:57,24.91,2300885000.0,1.10092806816,-0.398745507002,1
25,2025-12-07 15:36:57,24.91,2400880000.0,1.35955262184,-0.532281517982,1
26,2025-12-07 15:36:57,24.91,2500875000.0,0.64377117157,-0.91322439909,1
27,2025-12-07 15:36:57,24.91,2600870000.0,0.422403484583,-0.581240653992,1
28,2025-12-07 15:36:57,24.91,2700865000.0,0.439282119274,-0.640570700169,1
29,2025-12-07 15:36:57,24.91,2800860000.0,0.461291253567,-0.70988380909,1
30,2025-12-07 15:36:57,24.91,2900855000.0,0.616886496544,-0.906861305237,1
31,2025-12-07 15:36:57,24.91,3000850000.0,0.787980377674,-1.33305609226,1
32,2025-12-07 15:36:57,24.91,3100845000.0,0.104828059673,-0.861553430557,1
33,2025-12-07 15:36:57,24.91,3200840000.0,0.309239298105,-0.576601028442,1
34,2025-12-07 15:36:57,24.91,3300835000.0,0.429470062256,-0.519378602505,1
35,2025-12-07 15:36:57,24.91,3400830000.0,0.588382422924,-0.513914704323,1
36,2025-12-07 15:36:57,24.91,3500825000.0,0.712895393372,-0.578288197517,1
37,2025-12-07 15:36:57,24.91,3600820000.0,0.850893676281,-0.723857283592,1
38,2025-12-07 15:36:57,24.91,3700815000.0,0.44835832715,-0.539207160473,1
39,2025-12-07 15:36:57,24.91,3800810000.0,0.223375454545,-0.523267626762,1
40,2025-12-07 15:36:57,24.91,3900805000.0,0.287655949593,-0.517278671265,1
41,2025-12-07 15:36:57,24.91,4000800000.0,0.359331130981,-0.526451945305,1
42,2025-12-07 15:36:57,24.91,4100795000.0,0.444555968046,-0.787822842598,1
43,2025-12-07 15:36:57,24.91,4200790000.0,0.0752162337303,-1.05895030499,1
44,2025-12-07 15:36:57,24.91,4300785000.0,0.17749646306,-1.07151544094,1
45,2025-12-07 15:36:57,24.91,4400780000.0,0.272225618362,-1.0299860239,1
46,2025-12-07 15:36:57,24.91,4500775000.0,0.237445682287,-0.838256955147,1
47,2025-12-07 15:36:57,24.91,4600770000.0,0.234217792749,-0.702884912491,1
48,2025-12-07 15:36:57,24.91,4700765000.0,1.06812930107,-1.11381912231,1
49,2025-12-07 15:36:57,24.91,4800760000.0,1.08304798603,0.295330405235,1
50,2025-12-07 15:36:57,24.91,4900755000.0,0.600709080696,-0.752146482468,1
51,2025-12-07 15:36:57,24.91,5000750000.0,0.174047112465,-0.467786192894,1
52,2025-12-07 15:36:57,24.91,5100745000.0,0.219322621822,-0.511288821697,1
53,2025-12-07 15:36:57,24.91,5200740000.0,0.260653138161,-0.579657614231,1
54,2025-12-07 15:36:57,24.91,5300735000.0,0.0430872738361,-0.656702578068,1
55,2025-12-07 15:36:57,24.91,5400730000.0,-0.207056671381,-0.85717356205,1
56,2025-12-07 15:36:57,24.91,5500725000.0,-0.0517287701368,-0.745928525925,1
57,2025-12-07 15:36:57,24.91,5600720000.0,0.0538207516074,-0.651407897472,1
58,2025-12-07 15:36:57,24.91,5700715000.0,0.0809335410595,-0.6224411726,1
59,2025-12-07 15:36:57,24.91,5800710000.0,0.106927782297,-0.596410512924,1
60,2025-12-07 15:36:57,24.91,5900705000.0,0.25213509798,-0.824065387249,1
61,2025-12-07 15:36:57,24.91,6000700000.0,-0.164376348257,-1.01124870777,1
62,2025-12-07 15:36:57,24.91,6100695000.0,0.0878797471523,-1.07491207123,1
63,2025-12-07 15:36:57,24.91,6200690000.0,0.241483718157,-0.896209836006,1
64,2025-12-07 15:36:57,24.91,6300685000.0,-0.193992316723,-0.981696486473,1
65,2025-12-07 15:36:57,24.91,6400680000.0,-0.131500571966,-0.664122104645,1
66,2025-12-07 15:36:57,24.91,6500675000.0,0.00479611754417,-0.714480102062,1
67,2025-12-07 15:36:57,24.91,6600670000.0,0.137316077948,-0.657734930515,1
68,2025-12-07 15:36:57,24.91,6700665000.0,-0.0738051682711,-0.508582353592,1
69,2025-12-07 15:36:57,24.91,6800660000.0,-0.124000974,-0.368147671223,1
70,2025-12-07 15:36:57,24.91,6900655000.0,-0.0968218743801,-0.468288064003,1
71,2025-12-07 15:36:57,24.91,7000650000.0,0.00122517347336,-0.592440485954,1
72,2025-12-07 15:36:57,24.91,7100645000.0,0.034948348999,-0.615188598633,1
73,2025-12-07 15:36:57,24.91,7200640000.0,0.0741397589445,-0.635004341602,1
74,2025-12-07 15:36:57,24.91,7300635000.0,-0.0262436103076,-0.410214096308,1
75,2025-12-07 15:36:57,24.91,7400630000.0,-0.125835359097,-0.322348475456,1
76,2025-12-07 15:36:57,24.91,7500625000.0,-0.0229552835226,-0.337172061205,1
77,2025-12-07 15:36:57,24.91,7600620000.0,0.0180144309998,-0.473664700985,1
78,2025-12-07 15:36:57,24.91,7700615000.0,-0.0530191212893,-0.513672113419,1
79,2025-12-07 15:36:57,24.91,7800610000.0,-0.146342128515,-0.531360328197,1
80,2025-12-07 15:36:57,24.91,7900605000.0,-0.292546182871,-0.538976609707,1
81,2025-12-07 15:36:57,24.91,8000600000.0,-0.372547864914,-0.414353311062,1
82,2025-12-07 15:36:57,24.91,8100595000.0,-0.360972642899,-0.336895376444,1
83,2025-12-07 15:36:57,24.91,8200590000.0,-0.317613869905,-0.29422211647,1
84,2025-12-07 15:36:57,24.91,8300585000.0,-0.216011226177,-0.344195455313,1
85,2025-12-07 15:36:57,24.91,8400580000.0,-0.199197947979,-0.478789001703,1
86,2025-12-07 15:36:57,24.91,8500575000.0,-0.32424467802,-0.474808841944,1
87,2025-12-07 15:36:57,24.91,8600570000.0,-0.447715163231,-0.399231821299,1
88,2025-12-07 15:36:57,24.91,8700565000.0,-0.199907958508,-0.309340238571,1
89,2025-12-07 15:36:57,24.91,8800560000.0,-0.0471589118242,-0.384831309319,1
90,2025-12-07 15:36:57,24.91,8900555000.0,-0.0879244208336,-0.347143411636,1
91,2025-12-07 15:36:57,24.91,9000550000.0,-0.134605765343,-0.327421158552,1
92,2025-12-07 15:36:57,24.91,9100545000.0,-0.0626599267125,-0.424652338028,1
93,2025-12-07 15:36:57,24.91,9200540000.0,-0.141425654292,-0.631177604198,1
94,2025-12-07 15:36:57,24.91,9300535000.0,-0.504734516144,-0.556812524796,1
95,2025-12-07 15:36:57,24.91,9400530000.0,-0.344613432884,-0.333400011063,1
96,2025-12-07 15:36:57,24.91,9500525000.0,-0.291802227497,-0.331708014011,1
97,2025-12-07 15:36:57,24.91,9600520000.0,-0.24639543891,-0.340655148029,1
98,2025-12-07 15:36:57,24.91,9700515000.0,-0.235434293747,-0.495586454868,1
99,2025-12-07 15:36:57,24.91,9800510000.0,-0.457286298275,-0.71887499094,1
100,2025-12-07 15:36:57,24.91,9900505000.0,-0.908237874508,-0.249281942844,1
101,2025-12-07 15:36:57,24.91,10000500000.0,-0.512427210808,-0.150121033192,1
102,2025-12-07 15:36:57,24.91,10100495000.0,-0.443138957024,-0.307949483395,1
103,2025-12-07 15:36:57,24.91,10200490000.0,-0.319232523441,-0.427431166172,1
104,2025-12-07 15:36:57,24.91,10300485000.0,0.0144485402852,1.23088181019,1
105,2025-12-07 15:36:57,24.91,10400480000.0,0.311288565397,0.160549134016,1
106,2025-12-07 15:36:57,24.91,10500475000.0,1.05325651169,0.692229628563,1
107,2025-12-07 15:36:57,24.91,10600470000.0,-0.633410990238,-0.463594943285,1
108,2025-12-07 15:36:57,24.91,10700465000.0,-0.346977263689,-0.268852204084,1
109,2025-12-07 15:36:57,24.91,10800460000.0,-0.228818535805,-0.20336830616,1
110,2025-12-07 15:36:57,24.91,10900455000.0,-0.280556857586,-0.277350395918,1
111,2025-12-07 15:36:57,24.91,11000450000.0,-0.433420062065,-0.321895569563,1
112,2025-12-07 15:36:57,24.91,11100445000.0,-0.240998506546,-0.202953219414,1
113,2025-12-07 15:36:57,24.91,11200440000.0,-0.218743041158,-0.103988736868,1
114,2025-12-07 15:36:57,24.91,11300435000.0,-0.22650372982,-0.169985666871,1
115,2025-12-07 15:36:57,24.91,11400430000.0,-0.281477689743,-0.259444624186,1
116,2025-12-07 15:36:57,24.91,11500425000.0,-0.31388810277,-0.0900960043073,1
117,2025-12-07 15:36:57,24.91,11600420000.0,-0.294928640127,0.0427906662226,1
118,2025-12-07 15:36:57,24.91,11700415000.0,-0.290985435247,-0.0763868838549,1
119,2025-12-07 15:36:57,24.91,11800410000.0,-0.29361140728,-0.224223688245,1
120,2025-12-07 15:36:57,24.91,11900405000.0,-0.268020272255,-0.313221305609,1
121,2025-12-07 15:36:57,24.91,12000400000.0,-0.312767356634,-0.441107690334,1
122,2025-12-07 15:36:57,24.91,12100395000.0,-0.301169663668,-0.423676669598,1
123,2025-12-07 15:36:57,24.91,12200390000.0,-0.290150105953,-0.407839000225,1
124,2025-12-07 15:36:57,24.91,12300385000.0,-0.191794663668,-0.337817132473,1
125,2025-12-07 15:36:57,24.91,12400380000.0,-0.174740582705,-0.263656944036,1
126,2025-12-07 15:36:57,24.91,12500375000.0,-0.175081416965,-0.1917937994,1
127,2025-12-07 15:36:57,24.91,12600370000.0,-0.229482203722,-0.160173267126,1
128,2025-12-07 15:36:57,24.91,12700365000.0,-0.209581568837,-0.166034251451,1
129,2025-12-07 15:36:57,24.91,12800360000.0,-0.19188913703,-0.173598527908,1
130,2025-12-07 15:36:57,24.91,12900355000.0,-0.184123009443,-0.286140710115,1
131,2025-12-07 15:36:57,24.91,13000350000.0,-0.408814251423,-0.379556596279,1
132,2025-12-07 15:36:57,24.91,13100345000.0,-0.344352424145,-0.369194984436,1
133,2025-12-07 15:36:57,24.91,13200340000.0,-0.291819393635,-0.39181882143,1
134,2025-12-07 15:36:57,24.91,13300335000.0,-0.294854998589,-0.464595705271,1
135,2025-12-07 15:36:57,24.91,13400330000.0,-0.284988790751,-0.557403564453,1
136,2025-12-07 15:36:57,24.91,13500325000.0,-0.204517409205,-0.31349620223,1
137,2025-12-07 15:36:57,24.91,13600320000.0,-0.231554239988,-0.193376556039,1
138,2025-12-07 15:36:57,24.91,13700315000.0,-0.243616983294,-0.165240600705,1
139,2025-12-07 15:36:57,24.91,13800310000.0,-0.259114861488,-0.140186905861,1
140,2025-12-07 15:36:57,24.91,13900305000.0,-0.228216841817,-0.263183116913,1
141,2025-12-07 15:36:57,24.91,14000300000.0,-0.390352368355,-0.470809191465,1
142,2025-12-07 15:36:57,24.91,14100295000.0,-0.436299353838,-0.44244235754,1
143,2025-12-07 15:36:57,24.91,14200290000.0,-0.48499456048,-0.47775387764,1
144,2025-12-07 15:36:57,24.91,14300285000.0,-0.48652780056,-0.486573219299,1
145,2025-12-07 15:36:57,24.91,14400280000.0,-0.487713545561,-0.495548933744,1
146,2025-12-07 15:36:57,24.91,14500275000.0,-0.369257092476,-0.668379664421,1
147,2025-12-07 15:36:57,24.91,14600270000.0,-0.173326656222,-0.635340154171,1
148,2025-12-07 15:36:57,24.91,14700265000.0,-0.160477980971,-0.432838350534,1
149,2025-12-07 15:36:57,24.91,14800260000.0,-0.209543466568,-0.324395179749,1
150,2025-12-07 15:36:57,24.91,14900255000.0,-0.372631847858,-0.306842923164,1
151,2025-12-07 15:36:57,24.91,15000250000.0,-0.652931928635,-0.221899360418,1
152,2025-12-07 15:36:57,24.91,15100245000.0,-0.955862522125,-0.251338422298,1
153,2025-12-07 15:36:57,24.91,15200240000.0,-1.18481111526,0.229680269957,1
154,2025-12-07 15:36:57,24.91,15300235000.0,-0.850048065186,0.546194195747,1
155,2025-12-07 15:36:57,24.91,15400230000.0,-0.61418068409,0.396984815598,1
156,2025-12-07 15:36:57,24.91,15500225000.0,-0.670217216015,0.225968569517,1
157,2025-12-07 15:36:57,24.91,15600220000.0,-0.614530384541,0.0836687088013,1
158,2025-12-07 15:36:57,24.91,15700215000.0,-0.207795977592,0.380208730698,1
