Point_Index,Sweep_Timestamp,Temperature_C,Frequency_Hz,Real_S11,Imag_S11,Current_Step
1,2025-12-08 13:13:50,-0.05,1000000.0,7.07106803666e-11,7.07106803666e-11,3
2,2025-12-08 13:13:50,-0.05,100995000.0,7.07106803666e-11,7.07106803666e-11,3
3,2025-12-08 13:13:50,-0.05,200990000.0,7.07106803666e-11,7.07106803666e-11,3
4,2025-12-08 13:13:50,-0.05,300985000.0,7.07106803666e-11,7.07106803666e-11,3
5,2025-12-08 13:13:50,-0.05,400980000.0,7.07106803666e-11,7.07106803666e-11,3
6,2025-12-08 13:13:50,-0.05,500975000.0,7.07106803666e-11,7.07106803666e-11,3
7,2025-12-08 13:13:50,-0.05,600970000.0,7.07106803666e-11,7.07106803666e-11,3
8,2025-12-08 13:13:50,-0.05,700965000.0,7.07106803666e-11,7.07106803666e-11,3
9,2025-12-08 13:13:50,-0.05,800960000.0,7.07106803666e-11,7.07106803666e-11,3
10,2025-12-08 13:13:50,-0.05,900955000.0,7.07106803666e-11,7.07106803666e-11,3
11,2025-12-08 13:13:50,-0.05,1000950000.0,7.07106803666e-11,7.07106803666e-11,3
12,2025-12-08 13:13:50,-0.05,1100945000.0,7.07106803666e-11,7.07106803666e-11,3
13,2025-12-08 13:13:50,-0.05,1200940000.0,7.07106803666e-11,7.07106803666e-11,3
14,2025-12-08 13:13:50,-0.05,1300935000.0,7.07106803666e-11,7.07106803666e-11,3
15,2025-12-08 13:13:50,-0.05,1400930000.0,7.07106803666e-11,7.07106803666e-11,3
16,2025-12-08 13:13:50,-0.05,1500925000.0,7.07106803666e-11,7.07106803666e-11,3
17,2025-12-08 13:13:50,-0.05,1600920000.0,7.07106803666e-11,7.07106803666e-11,3
18,2025-12-08 13:13:50,-0.05,1700915000.0,7.07106803666e-11,7.07106803666e-11,3
19,2025-12-08 13:13:50,-0.05,1800910000.0,7.07106803666e-11,7.07106803666e-11,3
20,2025-12-08 13:13:50,-0.05,1900905000.0,7.07106803666e-11,7.07106803666e-11,3
21,2025-12-08 13:13:50,-0.05,2000900000.0,7.07106803666e-11,7.07106803666e-11,3
22,2025-12-08 13:13:50,-0.05,2100895000.0,7.07106803666e-11,7.07106803666e-11,3
23,2025-12-08 13:13:50,-0.05,2200890000.0,7.07106803666e-11,7.07106803666e-11,3
24,2025-12-08 13:13:50,-0.05,2300885000.0,7.07106803666e-11,7.07106803666e-11,3
25,2025-12-08 13:13:50,-0.05,2400880000.0,7.07106803666e-11,7.07106803666e-11,3
26,2025-12-08 13:13:50,-0.05,2500875000.0,7.07106803666e-11,7.07106803666e-11,3
27,2025-12-08 13:13:50,-0.05,2600870000.0,7.07106803666e-11,7.07106803666e-11,3
28,2025-12-08 13:13:50,-0.05,2700865000.0,7.07106803666e-11,7.07106803666e-11,3
29,2025-12-08 13:13:50,-0.05,2800860000.0,7.07106803666e-11,7.07106803666e-11,3
30,2025-12-08 13:13:50,-0.05,2900855000.0,7.07106803666e-11,7.07106803666e-11,3
31,2025-12-08 13:13:50,-0.05,3000850000.0,7.07106803666e-11,7.07106803666e-11,3
32,2025-12-08 13:13:50,-0.05,3100845000.0,7.07106803666e-11,7.07106803666e-11,3
33,2025-12-08 13:13:50,-0.05,3200840000.0,7.07106803666e-11,7.07106803666e-11,3
34,2025-12-08 13:13:50,-0.05,3300835000.0,7.07106803666e-11,7.07106803666e-11,3
35,2025-12-08 13:13:50,-0.05,3400830000.0,7.07106803666e-11,7.07106803666e-11,3
36,2025-12-08 13:13:50,-0.05,3500825000.0,7.07106803666e-11,7.07106803666e-11,3
37,2025-12-08 13:13:50,-0.05,3600820000.0,7.07106803666e-11,7.07106803666e-11,3
38,2025-12-08 13:13:50,-0.05,3700815000.0,7.07106803666e-11,7.07106803666e-11,3
39,2025-12-08 13:13:50,-0.05,3800810000.0,7.07106803666e-11,7.07106803666e-11,3
40,2025-12-08 13:13:50,-0.05,3900805000.0,7.07106803666e-11,7.07106803666e-11,3
41,2025-12-08 13:13:50,-0.05,4000800000.0,7.07106803666e-11,7.07106803666e-11,3
42,2025-12-08 13:13:50,-0.05,4100795000.0,7.07106803666e-11,7.07106803666e-11,3
43,2025-12-08 13:13:50,-0.05,4200790000.0,7.07106803666e-11,7.07106803666e-11,3
44,2025-12-08 13:13:50,-0.05,4300785000.0,7.07106803666e-11,7.07106803666e-11,3
45,2025-12-08 13:13:50,-0.05,4400780000.0,7.07106803666e-11,7.07106803666e-11,3
46,2025-12-08 13:13:50,-0.05,4500775000.0,7.07106803666e-11,7.07106803666e-11,3
47,2025-12-08 13:13:50,-0.05,4600770000.0,7.07106803666e-11,7.07106803666e-11,3
48,2025-12-08 13:13:50,-0.05,4700765000.0,7.07106803666e-11,7.07106803666e-11,3
49,2025-12-08 13:13:50,-0.05,4800760000.0,7.07106803666e-11,7.07106803666e-11,3
50,2025-12-08 13:13:50,-0.05,4900755000.0,7.07106803666e-11,7.07106803666e-11,3
51,2025-12-08 13:13:50,-0.05,5000750000.0,7.07106803666e-11,7.07106803666e-11,3
52,2025-12-08 13:13:50,-0.05,5100745000.0,7.07106803666e-11,7.07106803666e-11,3
53,2025-12-08 13:13:50,-0.05,5200740000.0,7.07106803666e-11,7.07106803666e-11,3
54,2025-12-08 13:13:50,-0.05,5300735000.0,7.07106803666e-11,7.07106803666e-11,3
55,2025-12-08 13:13:50,-0.05,5400730000.0,7.07106803666e-11,7.07106803666e-11,3
56,2025-12-08 13:13:50,-0.05,5500725000.0,7.07106803666e-11,7.07106803666e-11,3
57,2025-12-08 13:13:50,-0.05,5600720000.0,7.07106803666e-11,7.07106803666e-11,3
58,2025-12-08 13:13:50,-0.05,5700715000.0,7.07106803666e-11,7.07106803666e-11,3
